#name,strength,airport,city,country,description,type,latitude,longitude
VIVOOD Landscape Hotel & Spa,,ALC,Alicante,ES,,Luxury Hotel,,
ITC Narmada,,AMD,,IN,Luxury Collection Hotels,Luxury Hotel,,
Petra,,AMM,,JO,Explore the ancient Nabataean city with high-end hotels and private guided tours.,Adventure Tourism,,
Four Seasons AMMAN,,AMM,,JO,Four Seasons,Luxury Hotel,,
The Ritz-Carlton Amman,,AMM,,JO,Ritz-Carlton,Luxury Hotel,,
The St. Regis Amman,,AMM,,JO,St. Regis,Luxury Hotel,,
Dutch GP,,AMS,,,Formula One race held at the CM.com Circuit Zandvoort,Elite Destination,52.38882,4.54092
Amsterdam,,AMS,,NL,,Elite residential,,
Oud-Zuid,,AMS,,NL,,Elite residential,,
Waldorf Astoria Amsterdam,,AMS,Amsterdam,NL,,Luxury Hotel,,
Andaz Amsterdam Prinsengracht,,AMS,Amsterdam,NL,,Luxury Hotel,,
Sofitel Legend The Grand Amsterdam,,AMS,Amsterdam,NL,,Luxury Hotel,52.3702,4.8952
The Dylan Amsterdam,,AMS,,,,Luxury Hotel,,
Denali National Park,,ANC,,US,,Adventure Tourism,,
St. John's,,ANU,,AG,,Elite residential,,
Jumby Bay Island,,ANU,,AG,Oetker Collection Hotels,Luxury Hotel,,
Wadi Rum Desert,,AQJ,,JO,Experience the beauty of the desert with luxurious glamping experiences and private stargazing sessions.,Adventure Tourism,,
Al Manara,,AQJ,,JO,Luxury Collection Hotels,Luxury Hotel,,
Las Casitas,,AQP,,PE,,Luxury Hotel,,
Belmond Las Casitas,,AQP,Arequipa,PE,,Luxury Hotel,,
Serengeti National Park,,ARK,,TZ,,Adventure Tourism,,
Östermalm,,ARN,,SE,,Elite residential,,
Östermalm,,ARN,,SE,,Elite residential,,
Strand Stockholm,,ARN,Stockholm,se,Radisson Collection Hotel,Luxury Hotel,59.3308868,18.0768661
Grand Hôtel Stockholm,,ARN,,,,Luxury Hotel,,
Ashgabat,,ASB,,TM,,Elite residential,,
The Aspen Institute,,ASE,,US,Nonprofit organization promoting leadership and social impact through conferences and initiatives attended by affluent individuals and philanthropists.,Elite Destination,,
Kachina Village,,ASE,,US,,Elite residential,,
Hotel Jerome,,ASE,,US,Auberge Resorts,Luxury Hotel,,
The St. Regis Aspen Resort,,ASE,,US,St. Regis,Luxury Hotel,,
Sofitel Legend Old Cataract Aswan,,ASW,Aswan,EG,,Luxury Hotel,24.0889,32.8992
Kolonaki,,ATH,,GR,,Elite residential,,
Kolonaki,,ATH,,GR,,Elite residential,,
Amanzoe,,ATH,,GR,Aman resorts,Luxury Hotel,,
Four Seasons ATHENS (ASTIR PALACE),,ATH,,GR,Four Seasons,Luxury Hotel,,
Hotel Grande Bretagne,,ATH,,GR,Luxury Collection Hotels,Luxury Hotel,,
King George,,ATH,,GR,Luxury Collection Hotels,Luxury Hotel,,
Rosewood Kranidi,,ATH,,GR,Rosewood Hotel,Luxury Hotel,,
Grand Resort Lagonissi,,ATH,,,,Luxury Hotel,,
Buckhead,,ATL,Atlanta,US,,Elite residential,,
Four Seasons ATLANTA,,ATL,Atlanta,US,Four Seasons,Luxury Hotel,,
JW Marriott Atlanta Buckhead,,ATL,Atlanta,US,JW Marriott,Luxury Hotel,,
Stonehurst Place Atlanta,,ATL,Atlanta,US,MICHELIN One Key Hotel,Luxury Hotel,,
The Candler Hotel Atlanta,,ATL,Atlanta,US,MICHELIN One Key Hotel,Luxury Hotel,,
The Ritz-Carlton Atlanta,,ATL,Atlanta,US,Ritz-Carlton,Luxury Hotel,,
The Ritz-Carlton Reynolds Lake Oconee,,ATL,Atlanta,US,Ritz-Carlton,Luxury Hotel,,
The St. Regis Atlanta,,ATL,Atlanta,US,St. Regis,Luxury Hotel,,
Waldorf Astoria Atlanta Buckhead,,ATL,Atlanta,US,,Luxury Hotel,,
The Ritz-Carlton Aruba,,AUA,,AW,Ritz-Carlton,Luxury Hotel,,
Abu Dhabi GP,,AUH,,,Formula One race held at the Yas Marina Circuit,Elite Destination,24.46722,54.60306
The Abu Dhabi Grand Prix,,AUH,Abu Dhabi,AE,Formula One race held at the Yas Marina Circuit,Elite Destination,,
Abu Dhabi,,AUH,Abu Dhabi,AE,,Elite residential,,
Saadiyat Island,,AUH,Abu Dhabi,AE,,Elite residential,,
Shangri-La Hotel Qaryat Al Beri,,AUH,Abu Dhabi,AE,,Luxury Hotel,24.4539,54.3773
Four Seasons ABU DHABI,,AUH,Abu Dhabi,AE,Four Seasons,Luxury Hotel,,
Al Wathba,,AUH,Abu Dhabi,AE,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Abu Dhabi,,AUH,Abu Dhabi,AE,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Abu Dhabi Grand Canal,,AUH,Abu Dhabi,AE,Ritz-Carlton,Luxury Hotel,,
Rosewood Abu Dhabi,,AUH,Abu Dhabi,AE,Rosewood Hotel,Luxury Hotel,,
The St. Regis Abu Dhabi,,AUH,Abu Dhabi,AE,St. Regis,Luxury Hotel,,
The St. Regis Saadiyat Island Resort,,AUH,Abu Dhabi,AE,St. Regis,Luxury Hotel,,
EDITION Abu Dhabi,,AUH,Abu Dhabi,AE,,Luxury Hotel,,
Conrad Abu Dhabi Etihad Towers,,AUH,Abu Dhabi,AE,,Luxury Hotel,,
Andaz Capital Gate Abu Dhabi,,AUH,Abu Dhabi,AE,,Luxury Hotel,,
United States GP,,AUS,,,Formula One race held at the Circuit of the Americas,Elite Destination,30.13278,-97.64111
Commodore Perry Estate,,AUS,,US,Auberge Resorts,Luxury Hotel,,
Four Seasons AUSTIN,,AUS,,US,Four Seasons,Luxury Hotel,,
JW Marriott Austin,,AUS,,US,JW Marriott,Luxury Hotel,,
Miraval Austin,,AUS,,US,,Luxury Hotel,,
Catalina Island,,AVX,,,,Elite Residential,,
Cap Juluca,,AXA,,AI,,Elite residential,,
Four Seasons ANGUILLA,,AXA,,AI,Four Seasons,Luxury Hotel,,
Belmond Cap Juluca,,AXA,The Valley,AI,,Luxury Hotel,,
Uluru-Kata Tjuta National Park,,AYQ,,AU,Witness the sacred monoliths with luxury lodges offering cultural experiences and desert sunsets.,Adventure Tourism,,
Lara,,AYT,Antalya,TR,,Elite residential,,
Bahrain GP,,BAH,,,Formula One race held at the Bahrain International Circuit,Elite Destination,26.0325,50.51056
Manama,,BAH,,BH,,Elite residential,,
Four Seasons BAHRAIN BAY,,BAH,,BH,Four Seasons,Luxury Hotel,,
The Ritz-Carlton Bahrain,,BAH,,BH,Ritz-Carlton,Luxury Hotel,,
Conrad Bahrain Financial Harbour,,BAH,Manama,BH,,Luxury Hotel,,
Raffles Al Areen Palace Bahrain,,BAH,Manama,BH,,Luxury Hotel,,
Shangri-La Baotou,,BAV,Baotou,CN,,Luxury Hotel,40.6572,109.8392
Belmond Savute Elephant Lodge,,BBK,Kasane,BW,,Luxury Hotel,,
Belmond Khwai River Lodge,,BBK,Kasane,BW,,Luxury Hotel,,
Spanish GP,,BCN,,,Formula One race held at the Circuit de Barcelona-Catalunya,Elite Destination,41.57,2.26111
Sant Gervasi,,BCN,Barcelona,ES,,Elite residential,,
Barcelona EDITION,,BCN,Barcelona,ES,EDITION,Luxury Hotel,,
Mandarin Oriental Barcelona,,BCN,Barcelona,ES,Mandarin Oriental,Luxury Hotel,,
Hotel Arts Barcelona,,BCN,Barcelona,ES,Ritz-Carlton,Luxury Hotel,,
Soho House,,BCN,Barcelona,ES,,Luxury Hotel,,
El Palace Barcelona,,BCN,,,,Luxury Hotel,,
Spittal Pond,,BDA,Bermuda,BM,,Elite residential,,
Tucker's Town,,BDA,Bermuda,BM,,Elite residential,,
Whale Bay,,BDA,Bermuda,BM,,Elite residential,,
Rosewood Bermuda,,BDA,,BM,Rosewood Hotel,Luxury Hotel,,
The St. Regis Bermuda Resort,,BDA,,BM,St. Regis,Luxury Hotel,,
Hamilton Princess & Beach Club,,BDA,,,,Luxury Hotel,,
Mayflower Inn & Spa,,BDL,,US,Auberge Resorts,Luxury Hotel,,
Miraval Berkshires Resort and Spa,,BDL,,US,World of Hyatt,Luxury Hotel,,
The Hotchkiss School,,BDL,,US,,School,,
Masseria Torre Maizza,,BDS,Brindisi,IT,Rocco Forte Hotel,Luxury Hotel,40.65,17.9667
Grunewald,,BER,,DE,,Elite residential,,
Mitte,,BER,,DE,,Elite residential,,
JW Marriott Hotel Berlin,,BER,,DE,JW Marriott,Luxury Hotel,,
Berlin Radisson,,BER,berlin,de,Radisson Collection Hotel,Luxury Hotel,52.5194969,13.4028912
The Ritz-Carlton Berlin,,BER,,DE,Ritz-Carlton,Luxury Hotel,,
Hotel de Rome,,BER,Berlin,DE,Rocco Forte Hotel,Luxury Hotel,52.51564869,13.39365219
Waldorf Astoria Berlin,,BER,Berlin,DE,,Luxury Hotel,,
Grand Hyatt Berlin,,BER,,,,Luxury Hotel,,
Achrafieh,,BEY,,LB,,Elite residential,,
Four Seasons BEIRUT,,BEY,,LB,Four Seasons,Luxury Hotel,,
Sandy Lane,,BGI,,BB,,Elite residential,,
Colony Club by Elegant Hotels,,BGI,,BB,Luxury Collection Hotels,Luxury Hotel,,
Fairmont Royal Pavilion,,BGI,,,,Luxury Hotel,,
Sandy Lane,,BGI,,,,Luxury Hotel,,
Old Mill Belgrade,,BGO,Belgrade,rs,Radisson Collection Hotel,Luxury Hotel,44.7972755,20.4475422
Palazzo Touring Club Milan,,BGY,Milan,it,Radisson Collection Hotel,Luxury Hotel,45.4589958,9.187854
Meghauli Serai A Taj Safari,,BHR,Bharatpur,IN,,Luxury Hotel,27.6667,84.4333
Shangri-La Beihai,,BHY,Beihai,CN,,Luxury Hotel,21.4833,109.0833
Block Island,,BID,,US,,Elite residential,,
Bimini,,BIM,,BS,,Elite residential,,
Gran Via Bilbao,,BIO,bilbao,es,Radisson Collection Hotel,Luxury Hotel,43.26178,2.927823
Hôtel du Palais Biarritz,,BIQ,Biarritz,FR,,Luxury Hotel,,
Bodrum,,BJV,,TR,,Elite residential,,
Bodrum EDITION,,BJV,,TR,EDITION,Luxury Hotel,,
Caresse,,BJV,,TR,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Bodrum,,BJV,,TR,Mandarin Oriental,Luxury Hotel,,
Bodrum Radisson,,BJV,bodrum,tr,Radisson Collection Hotel,Luxury Hotel,36.97847,27.3108921
Rosewood Bodrum,,BJV,,TR,Rosewood Hotel,Luxury Hotel,,
Six Senses TURKEY,,BJV,,TR,Six Senses Resorts,Luxury Hotel,,
Rosewood San Miguel de Allende,,BJX,,MX,Rosewood Hotel,Luxury Hotel,,
Casa de Sierra Nevada,,BJX,,MX,,Luxury Hotel,,
Waldorf Astoria San Miguel de Allende,,BJX,Leon,MX,,Luxury Hotel,,
Belmond Casa de Sierra Nevada,,BJX,Leon,MX,,Luxury Hotel,,
Atrio Restaurante Hotel,,BJZ,Cáceres,ES,,Luxury Hotel,,
Shangri-La’s Rasa Ria Resort & Spa,,BKI,Kota Kinabalu,MY,,Luxury Hotel,5.979,116.0733
Shangri-La’s Tanjung Aru Resort & Spa,,BKI,Kota Kinabalu,MY,,Luxury Hotel,5.979,116.0733
Andaz Hyatt Centric Kota Kinabalu,,BKI,Kota Kinabalu,MY,,Luxury Hotel,,
Nara Pranburi,,BKK,Bangkok,TH,Secluded beachfront community with luxury villas,Elite residential,,
Sukhumvit Soi Thonglor,,BKK,Bangkok,TH,Trendy neighborhood known for its upscale restaurants,Elite residential,,
Emerging luxury real estate market with upscale offerings,,BKK,Bangkok,TH,,Elite residential,,
COMO Metropolitan Bangkok,,BKK,Bangkok,TH,COMO,Luxury Hotel,,
Four Seasons BANGKOK AT CHAO PHRAYA RIVER,,BKK,Bangkok,TH,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Bangkok,,BKK,Bangkok,TH,JW Marriott,Luxury Hotel,,
Sheraton Grande Sukhumvit,,BKK,Bangkok,TH,Luxury Collection Hotels,Luxury Hotel,,
The Athenee Hotel,,BKK,Bangkok,TH,Luxury Collection Hotels,Luxury Hotel,,
Mandarin Oriental Bangkok,,BKK,Bangkok,TH,Mandarin Oriental,Luxury Hotel,,
Rosewood Bangkok,,BKK,Bangkok,TH,Rosewood Hotel,Luxury Hotel,,
The St. Regis Bangkok,,BKK,Bangkok,TH,St. Regis,Luxury Hotel,,
The Peninsula Bangkok,,BKK,Bangkok,TH,The Peninsula,Luxury Hotel,,
The Peninsula Bangkok,,BKK,,TH,,Luxury Hotel,,
Waldorf Astoria Bangkok,,BKK,Bangkok,TH,,Luxury Hotel,,
Conrad Bangkok,,BKK,Bangkok,TH,,Luxury Hotel,,
Park Hyatt Bangkok,,BKK,,TH,,Luxury Hotel,,
Banyan Tree Bangkok,,BKK,Bangkok,TH,,Luxury Hotel,,
Emilia Romagna GP,,BLQ,,,Formula One race held at the Autodromo Internazionale Enzo e Dino Ferrari,Elite Destination,44.34111,11.71333
Casa Maria Luigia,,BLQ,Bologna,IT,,Luxury Hotel,,
Shangri-La Hotel Bengaluru,,BLR,Bengaluru,IN,,Luxury Hotel,12.9716,77.5946
Four Seasons BENGALURU AT EMBASSY ONE,,BLR,,IN,Four Seasons,Luxury Hotel,,
JW Marriott Bengaluru Prestige Golfshire Resort & Spa,,BLR,,IN,JW Marriott,Luxury Hotel,,
JW Marriott Hotel Bengaluru,,BLR,,IN,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Bangalore,,BLR,,IN,Ritz-Carlton,Luxury Hotel,,
The Oberoi,,BLR,,IN,The Oberoi,Luxury Hotel,,
Conrad Bengaluru,,BLR,Bengaluru,IN,,Luxury Hotel,,
Four Seasons NASHVILLE,,BNA,,US,Four Seasons,Luxury Hotel,,
Holston House Nashville,,BNA,,US,Hyatt Unbound,Luxury Hotel,,
JW Marriott Nashville,,BNA,,US,JW Marriott,Luxury Hotel,,
Conrad Nashville,,BNA,Nashville,US,,Luxury Hotel,,
New Farm,,BNE,Brisbane,AU,,Elite residential,,
Spicers Sangoma Retreat,,BNE,Queensland,AU,Fashionable all-inclusive,Luxury Hotel,,
Bora Bora,,BOB,,PF,,Adventure Tourism,,
Four Seasons BORA BORA,,BOB,,PF,Four Seasons,Luxury Hotel,,
The St. Regis Bora Bora Resort,,BOB,,PF,St. Regis,Luxury Hotel,,
Conrad Bora Bora Nui,,BOB,Bora Bora,PF,,Luxury Hotel,,
Bordeaux Vineyards,,BOD,,FR,,Elite residential,,
COMO Le Montrachet,,BOD,,FR,COMO,Luxury Hotel,,
Les Sources de Caudalie,,BOD,Bordeaux,FR,,Luxury Hotel,,
Four Seasons BOGOTÁ,,BOG,,CO,Four Seasons,Luxury Hotel,,
Four Seasons BOGOTÁ (CASA MEDINA),,BOG,,CO,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Bogota,,BOG,,CO,JW Marriott,Luxury Hotel,,
Four Seasons MUMBAI,,BOM,Mumbai,IN,Four Seasons,Luxury Hotel,,
JW Marriott Mumbai Juhu,,BOM,Mumbai,IN,JW Marriott,Luxury Hotel,,
JW Marriott Mumbai Sahar,,BOM,Mumbai,IN,JW Marriott,Luxury Hotel,,
The St. Regis Mumbai,,BOM,Mumbai,IN,St. Regis,Luxury Hotel,,
The Oberoi,,BOM,Mumbai,IN,The Oberoi,Luxury Hotel,,
Taj Mahal Palace Mumbai,,BOM,Mumbai,IN,,Luxury Hotel,18.922,72.8347
Taj Santacruz Mumbai,,BOM,Mumbai,IN,,Luxury Hotel,19.0828,72.8419
Back Bay,,BOS,Boston,US,,Elite residential,,
Four Seasons BOSTON,,BOS,Boston,US,Four Seasons,Luxury Hotel,,
Four Seasons ONE DALTON STREET,,BOS,Boston,US,Four Seasons,Luxury Hotel,,
Mandarin Oriental Boston,,BOS,Boston,US,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Boston,,BOS,Boston,US,Ritz-Carlton,Luxury Hotel,,
Raffles Boston,,BOS,Boston,US,,Luxury Hotel,,
Fairmont Copley Plaza,,BOS,Boston,US,,Luxury Hotel,42.3541,-71.0633
Newbury Boston,,BOS,,,,Luxury Hotel,,
Phillips Academy Andover,,BOS,,US,,School,,
Phillips Exeter Academy,,BOS,Exeter,US,,School,,
Harvard University,,BOS,Boston,US,,University,,
Massachusetts Institute of Technology,,BOS,Boston,US,,University,,
Shangri-La Qinhuangdao,,BPE,Qinhuangdao,CN,,Luxury Hotel,39.9342,119.6019
Trancoso,,BPS,,BR,A chic beach destination in Bahia,Elite residential,,
Fasano Trancoso,,BPS,,BR,,Luxury Hotel,,
Bariloche,,BRC,,AR,A picturesque city in the Argentine Andes,Elite residential,,
Borgo Egnazia,,BRI,Bari,IT,,Luxury Hotel,,
Masseria Torre Coccaro,,BRI,Bari,IT,,Luxury Hotel,,
Victoria-Jungfrau Grand Hotel & Spa,,BRN,,CH,,Luxury Hotel,,
Uccle,,BRU,,BE,,Elite residential,,
Grand Place Brussels,,BRU,Brussels,be,Radisson Collection Hotel,Luxury Hotel,50.8496437,4.356369
Hotel Amigo,,BRU,Brussels,BE,Rocco Forte Hotel,Luxury Hotel,50.8467,4.3528
Palacio do Planalto,,BSB,,BR,,Elite Destination,,
The Art Basel Fair,,BSL,,CH,Leading art fair held showcasing contemporary and modern artworks,Elite Destination,,
Grand Hotel River Park,,BTS,,SK,Luxury Collection Hotels,Luxury Hotel,,
Bratislava Castle,,BTS,,SK,,Luxury Hotel,,
Hungarian GP,,BUD,,,Formula One race held at the Hungaroring,Elite Destination,47.58222,19.25111
Four Seasons BUDAPEST,,BUD,,HU,Four Seasons,Luxury Hotel,,
Matild Palace,,BUD,,HU,Luxury Collection Hotels,Luxury Hotel,,
The Ritz-Carlton Budapest,,BUD,,HU,Ritz-Carlton,Luxury Hotel,,
West Hollywood,,BUR,Los Angeles,US,EDITION,Luxury Hotel,,
Four Seasons BEVERLY WILSHIRE,,BUR,Los Angeles,US,Four Seasons,Luxury Hotel,,
Rosewood Beverly Hills,,BUR,Los Angeles,US,Rosewood Hotel,Luxury Hotel,,
The Peninsula Beverly Hills,,BUR,Los Angeles,US,The Peninsula,Luxury Hotel,,
Belize City,,BZE,,BZ,,Elite residential,,
Bozeman,,BZN,,US,,Elite residential,,
Montage Big Sky,,BZN,,US,Montage,Luxury Hotel,,
One&Only,,BZN,,US,One&Only,Luxury Hotel,,
Bolzano,,BZO,,IT,,Elite residential,,
COMO Alpina Dolomites,,BZO,,IT,COMO,Luxury Hotel,,
Rosewood Alta Badia,,BZO,,IT,Rosewood Hotel,Luxury Hotel,,
Forestis Dolomites,,BZO,Bolzano,IT,,Luxury Hotel,,
Rosa Alpina,,BZO,Bolzano,IT,,Luxury Hotel,,
Sardinia,,CAG,,IT,,Elite residential,,
Conrad Chia Laguna Sardinia,,CAG,Cagliari,IT,,Luxury Hotel,,
Villa del Parco & Spa,,CAG,,,,Luxury Hotel,,
Zamalek,,CAI,,EG,,Elite residential,,
Four Seasons CAIRO AT NILE PLAZA,,CAI,,EG,Four Seasons,Luxury Hotel,,
Four Seasons CAIRO AT THE FIRST RESIDENCE,,CAI,,EG,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Cairo,,CAI,,EG,JW Marriott,Luxury Hotel,,
The Nile Ritz-Carlton Cairo,,CAI,,EG,Ritz-Carlton,Luxury Hotel,,
The St. Regis Cairo,,CAI,,EG,St. Regis,Luxury Hotel,,
Waldorf Astoria Cairo Heliopolis,,CAI,Cairo,EG,,Luxury Hotel,,
Conrad Cairo,,CAI,Cairo,EG,,Luxury Hotel,,
Shangri-La Guangzhou,,CAN,Guangzhou,CN,,Luxury Hotel,23.119444,113.324444
Shangri-La Guangzhou,,CAN,Guangzhou,CN,,Luxury Hotel,23.13,113.27
Four Seasons GUANGZHOU,,CAN,,CN,Four Seasons,Luxury Hotel,,
Mandarin Oriental Guangzhou,,CAN,,CN,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Guangzhou,,CAN,,CN,Ritz-Carlton,Luxury Hotel,,
Rosewood Guangzhou,,CAN,,CN,Rosewood Hotel,Luxury Hotel,,
Conrad Guangzhou,,CAN,Guangzhou,CN,,Luxury Hotel,,
Vancouver,,CB7,,CA,,Elite Residential,,
Whistler Creek,,CB9,,CA,,Elite Residential,,
Four Seasons WHISTLER,,CB9,,CA,Four Seasons,Luxury Hotel,,
Whistler Ski Resort,,CB9,,CA,,Ski Resort,,
JW Marriott Hotel Caracas,,CCS,,VE,JW Marriott,Luxury Hotel,,
JW Marriott Hotel Kolkata,,CCU,,IN,JW Marriott,Luxury Hotel,,
The Oberoi Grand,,CCU,,IN,The Oberoi,Luxury Hotel,,
Elysee Palace,,CDG,Paris,FR,,Elite Destination,,
8th Arrondissement,3,CDG,Paris,FR,,Elite residential,,
Neuilly-sur-Seine,,CDG,Paris,FR,,Elite residential,,
Saint-Germain-des-Prés,,CDG,Paris,FR,,Elite residential,,
Shangri-La Hotel Paris,,CDG,Paris,FR,,Luxury Hotel,48.8566,2.3522
Bulgari Hotel Paris,,CDG,Paris,FR,Bulgari Hotel,Luxury Hotel,,
Hôtel de Berri Champs-Élysées,,CDG,Paris,FR,Luxury Collection Hotels,Luxury Hotel,,
Prince de Galles,,CDG,Paris,FR,Luxury Collection Hotels,Luxury Hotel,,
The Peninsula Paris,,CDG,,FR,,Luxury Hotel,,
Cheval Blanc Paris,,CDG,,FR,,Luxury Hotel,,
Waldorf Astoria Versailles - Trianon Palace,,CDG,Paris,FR,,Luxury Hotel,,
J.K. Place Paris,,CDG,Paris,FR,,Luxury Hotel,,
Hôtel du Louvre,,CDG,Paris,FR,,Luxury Hotel,,
Hyatt Paris Madeleine,,CDG,Paris,FR,,Luxury Hotel,,
Park Hyatt Paris-Vendôme,,CDG,Paris,FR,,Luxury Hotel,,
Le Royal Monceau Raffles Paris,,CDG,Paris,FR,,Luxury Hotel,,
Shangri-La’s Mactan Resort & Spa,,CEB,Cebu,PH,,Luxury Hotel,10.3103,116.0733
Crimson Resort and Spa Mactan,,CEB,,PH,,Luxury Hotel,,
Four Seasons GOLDEN TRIANGLE,,CEI,,TH,Four Seasons,Luxury Hotel,,
Domes Miramare,,CFU,,GR,Luxury Collection Hotels,Luxury Hotel,,
Menteng,,CGK,,ID,,Elite residential,,
Pondok Indah,,CGK,,ID,,Elite residential,,
Shangri-La Hotel Jakarta,,CGK,Jakarta,ID,,Luxury Hotel,-6.1256,106.865
Four Seasons JAKARTA,,CGK,,ID,Four Seasons,Luxury Hotel,,
JW Marriott Hotel Jakarta,,CGK,,ID,JW Marriott,Luxury Hotel,,
Mandarin Oriental Jakarta,,CGK,,ID,Mandarin Oriental,Luxury Hotel,,
The Ritz-Carlton Jakarta,,CGK,,ID,Ritz-Carlton,Luxury Hotel,,
The St. Regis Jakarta,,CGK,,ID,St. Regis,Luxury Hotel,,
Waldorf Astoria Jakarta,,CGK,Jakarta,ID,,Luxury Hotel,,
Park Hyatt Jakarta,,CGK,Jakarta,ID,,Luxury Hotel,,
Alila SCBD Jakarta,,CGK,Jakarta,ID,,Luxury Hotel,,
Raffles Jakarta,,CGK,Jakarta,ID,,Luxury Hotel,,
Shangri-La Zhengzhou,,CGO,Zhengzhou,CN,,Luxury Hotel,34.755556,113.622222
JW Marriott Hotel Zhengzhou,,CGO,,CN,JW Marriott,Luxury Hotel,,
Shangri-La Changchun,,CGQ,Changchun,CN,,Luxury Hotel,43.88,125.32
Hapuku Lodge + Tree Houses,,CHC,Canterbury,NZ,Polished rural hotel offering mountain and ocean views,Luxury Hotel,,
The Hermitage Hotel,,CHC,Canterbury,NZ,,Luxury Hotel,,
Domes Zeen Chania,,CHQ,,GR,Luxury Collection Hotels,Luxury Hotel,,
The Dunlin,,CHS,,US,Auberge Resorts,Luxury Hotel,,
Roma Antica,,CIA,Rome,it,Radisson Collection Hotel,Luxury Hotel,41.89491,12.4784355
Locanda Rossa,,CIA,Rome,IT,,Luxury Hotel,,
Mandarin Oriental Canouan (Canouan,,CIW,,VC,Mandarin Oriental,Luxury Hotel,,
Taj Madikeri Resort & Spa Coorg,,CJB,Coimbatore,IN,,Luxury Hotel,12.4259,75.7439
Atacama Desert,,CJC,,CL,Experience otherworldly landscapes and luxurious accommodations with stargazing and desert adventure options.,Adventure Tourism,,
Cheju City,,CJU,Jeju,KR,,Elite residential,,
Jeju City,,CJU,Jeju,KR,,Elite residential,,
Jeju Island,,CJU,,KR,Exclusive island getaway known for its volcanic landscapes,Luxury Hotel,,
JW Marriott Jeju Resort & Spa,,CJU,,KR,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Cleveland,,CLE,,US,Ritz-Carlton,Luxury Hotel,,
JW Marriott Charlotte,,CLT,,US,JW Marriott,Luxury Hotel,,
The Ritz-Carlton Charlotte,,CLT,,US,Ritz-Carlton,Luxury Hotel,,
Ceylon Tea Trails,,CMB,,LK,,Adventure Tourism,,
Shangri-La Hotel Colombo,,CMB,Colombo,LK,,Luxury Hotel,6.9271,79.8612
Rosewood Galle,,CMB,,LK,Rosewood Hotel,Luxury Hotel,,
Taj Bentota Resort & Spa,,CMB,Colombo,LK,,Luxury Hotel,,
Courchevel,,CMF,,FR,,Ski Resort,,
Courchevel,,CMF,,FR,,Ski Resort,,
University of Illinois at Urbana-Champaign,,CMI,,US,,University,,
Four Seasons CASABLANCA,,CMN,,MA,Four Seasons,Luxury Hotel,,
Fasano Belo Horizonte,,CNF,,BR,,Luxury Hotel,,
Great Barrier Reef,,CNS,,AU,,Adventure Tourism,,
Shangri-La Hotel The Marina,,CNS,Carnis,AU,,Luxury Hotel,-16.9214,145.7728
Gilligan's Bar,,CNS,Queensland,AU,Dynamic hostel with 2 bars and attached nightclubs,Luxury Hotel,,
